date,Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
1/1/2015,0,0,0,1,0,0,0,0,0,1,11710,893,12603
1/2/2015,0,0,0,0,1,0,0,0,0,0,10736,775,11511
1/3/2015,0,0,0,0,0,1,0,0,0.71,0,11971,1175,13146
1/4/2015,0,0,0,0,0,0,1,0,0.3,0,8905,638,9543
1/5/2015,1,0,0,0,0,0,0,0,0,0,11335,827,12162
1/6/2015,0,1,0,0,0,0,0,1,0.05,0,13076,1181,14257
1/7/2015,0,0,1,0,0,0,0,0,0,0,14247,1231,15478
1/8/2015,0,0,0,1,0,0,0,0,0,0,15811,1658,17469
1/9/2015,0,0,0,0,1,0,0,1.5,0.07,0,15514,1698,17212
1/10/2015,0,0,0,0,0,1,0,0,0,0,15240,1415,16655
1/11/2015,0,0,0,0,0,0,1,0,0,0,11542,968,12510
1/12/2015,1,0,0,0,0,0,0,0,0.36,0,13731,1309,15040
1/13/2015,0,1,0,0,0,0,0,0,0,0,15424,1448,16872
1/14/2015,0,0,1,0,0,0,0,0,0,0,15540,1497,17037
1/15/2015,0,0,0,1,0,0,0,0,0,0,15883,1619,17502
1/16/2015,0,0,0,0,1,0,0,0,0,0,16002,1640,17642
1/17/2015,0,0,0,0,0,1,0,0,0,0,13924,1426,15350
1/18/2015,0,0,0,0,0,0,1,0,2.1,0,12250,1348,13598
1/19/2015,1,0,0,0,0,0,0,0,0,1,10305,810,11115
1/20/2015,0,1,0,0,0,0,0,0,0,0,14023,1154,15177
1/21/2015,0,0,1,0,0,0,0,0,0,0,15197,1386,16583
1/22/2015,0,0,0,1,0,0,0,0,0,0,16052,1592,17644
1/23/2015,0,0,0,0,1,0,0,0,0,0,16392,1670,18062
1/24/2015,0,0,0,0,0,1,0,3.6,0.72,0,13940,1596,15536
1/25/2015,0,0,0,0,0,0,1,0,0,0,11143,918,12061
1/26/2015,1,0,0,0,0,0,0,5.5,0.48,0,7923,941,8864
1/27/2015,0,1,0,0,0,0,0,4.3,0.36,0,3766,481,4247
1/28/2015,0,0,1,0,0,0,0,0,0,0,12955,1266,14221
1/29/2015,0,0,0,1,0,0,0,0,0.02,0,15448,1599,17047
1/30/2015,0,0,0,0,1,0,0,1,0.06,0,16286,1876,18162
1/31/2015,0,0,0,0,0,1,0,0,0,0,15065,1626,16691
2/1/2015,0,0,0,0,0,0,1,0.3,0.03,0,12413,1422,13835
2/2/2015,1,0,0,0,0,0,0,5,1.02,0,11508,1475,12983
2/3/2015,0,1,0,0,0,0,0,0,0,0,14315,1603,15918
2/4/2015,0,0,1,0,0,0,0,0,0,0,14657,1571,16228
2/5/2015,0,0,0,1,0,0,0,0,0,0,16187,1824,18011
2/6/2015,0,0,0,0,1,0,0,0,0,0,15755,1963,17718
2/7/2015,0,0,0,0,0,1,0,0,0.02,0,14955,1568,16523
2/8/2015,0,0,0,0,0,0,1,0,0,0,11669,1017,12686
2/9/2015,1,0,0,0,0,0,0,0,0.09,0,13230,1367,14597
2/10/2015,0,1,0,0,0,0,0,0.1,0.01,0,14891,1399,16290
2/11/2015,0,0,1,0,0,0,0,0,0,0,15638,1599,17237
2/12/2015,0,0,0,1,0,0,0,0,0,0,16397,1884,18281
2/13/2015,0,0,0,0,1,0,0,0,0,0,15737,2156,17893
2/14/2015,0,0,0,0,0,1,0,0.9,0.02,0,14133,1943,16076
2/15/2015,0,0,0,0,0,0,1,0,0,0,12023,1375,13398
2/16/2015,1,0,0,0,0,0,0,0,0,0,12089,1262,13351
2/17/2015,0,1,0,0,0,0,0,3.3,0.14,0,13495,1628,15123
2/18/2015,0,0,1,0,0,0,0,0,0,0,14844,1542,16386
2/19/2015,0,0,0,1,0,0,0,0,0,0,16350,1953,18303
2/20/2015,0,0,0,0,1,0,0,0,0,0,16910,2292,19202
2/21/2015,0,0,0,0,0,1,0,3,0.61,0,13037,1967,15004
2/22/2015,0,0,0,0,0,0,1,1,0.1,0,10715,1047,11762
2/23/2015,1,0,0,0,0,0,0,0,0,0,14143,1371,15514
2/24/2015,0,1,0,0,0,0,0,0,0,0,15554,1777,17331
2/25/2015,0,0,1,0,0,0,0,0,0,0,15404,1698,17102
2/26/2015,0,0,0,1,0,0,0,0,0,0,16852,1856,18708
2/27/2015,0,0,0,0,1,0,0,0,0,0,15962,1941,17903
2/28/2015,0,0,0,0,0,1,0,0,0,0,14604,1522,16126
