Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
0,0,0,1,0,0,0,0,0.00330033,0,0.996875,0.544104694,0.821396825
0,0,0,0,1,0,0,0,0,0,0.849768519,0.547250535,0.742285714
0,0,0,0,0,1,0,0,0.188118812,0,0.569212963,0.444066944,0.53631746
0,0,0,0,0,0,1,0,0.01980198,0,0.466782407,0.338366679,0.426793651
1,0,0,0,0,0,0,0,0.244224422,0,0.719675926,0.379514282,0.586285714
0,1,0,0,0,0,0,0,0,0,0.803356481,0.370454259,0.627619048
0,0,1,0,0,0,0,0,0,0,0.870717593,0.419781049,0.689460317
0,0,0,1,0,0,0,0,0,0,0.929282407,0.497923745,0.761015873
0,0,0,0,1,0,0,0,0,0,0.854513889,0.524348811,0.733333333
0,0,0,0,0,1,0,0,0,0,0.56875,0.444570278,0.53631746
0,0,0,0,0,0,1,0,0,0,0.457407407,0.283503209,0.393968254
1,0,0,0,0,0,0,0,0,0,0.702430556,0.321127469,0.547365079
0,1,0,0,0,0,0,0,0,0,0.811689815,0.358625897,0.626222222
0,0,1,0,0,0,0,0,0.02970297,0,0.895601852,0.469359507,0.728126984
0,0,0,1,0,0,0,0,0,0,0.929282407,0.509374607,0.766793651
0,0,0,0,1,0,0,0,0.04950495,0,0.832407407,0.511765446,0.714857143
0,0,0,0,0,1,0,0,0.099009901,0,0.452893519,0.359003398,0.429587302
0,0,0,0,0,0,1,0,0,0,0.428819444,0.238328929,0.355492063
1,0,0,0,0,0,0,0,0.250825083,0,0.738541667,0.436516925,0.625396825
0,1,0,0,0,0,0,0,0,0,0.779513889,0.356864225,0.60768254
0,0,1,0,0,0,0,0,0,0,0.861111111,0.420410218,0.684507937
0,0,0,1,0,0,0,0,0,0,0.915509259,0.468604505,0.738666667
0,0,0,0,1,0,0,0,0,0,0.773032407,0.472253681,0.662349206
0,0,0,0,0,1,0,0,0.03630363,0,0.399652778,0.326538316,0.384
0,0,0,0,0,0,1,0,0,0,0.391550926,0.240971436,0.336380952
1,0,0,0,0,0,0,0,0,0,0.609722222,0.289039889,0.48031746
0,1,0,0,0,0,0,0,0.148514851,0,0.751388889,0.410343526,0.619238095
0,0,1,0,0,0,0,0,0,0,0.834837963,0.434251919,0.677079365
0,0,0,1,0,0,0,0,0,0,0.849768519,0.467220335,0.701904762
0,0,0,0,1,0,0,0,0.290429043,0,0.778472222,0.563231408,0.711238095
0,0,0,0,0,1,0,0,0,0,0.406134259,0.333081666,0.390857143
0,0,0,0,0,0,1,0,0,0,0.397222222,0.236567258,0.337269841
1,0,0,0,0,0,0,0,0,0,0.622222222,0.308292437,0.496888889
0,1,0,0,0,0,0,0,0.099009901,0,0.783333333,0.404806845,0.633968254
0,0,1,0,0,0,0,0,0,0,0.747569444,0.412105197,0.618031746
0,0,0,1,0,0,0,0,0,0,0.791435185,0.457656977,0.665079365
0,0,0,0,1,0,0,0,0,0,0.694907407,0.454133635,0.610349206
0,0,0,0,0,1,0,0,0,0,0.415625,0.366175915,0.412761905
0,0,0,0,0,0,1,0,0,0,0.384722222,0.253554801,0.338984127
1,0,0,0,0,0,0,0,0,0,0.53900463,0.259343148,0.426539683
0,1,0,0,0,0,0,0,0.095709571,0,0.793287037,0.427834403,0.651047619
0,0,1,0,0,0,0,0,0.00330033,0,0.725578704,0.363785076,0.581587302
